id,postal,crowd
1,544965,50.00
2,467352,50.00
3,678295,50.00
4,538776,32.20
5,129880,50.00
6,119963,50.00
7,237994,50.00
8,556083,50.00
9,048980,23.00
10,556694,50.00
11,238872,50.00
12,159682,50.00
13,689687,50.00
14,379131,50.00
15,519498,50.00
16,560629,50.00
17,649882,50.00
18,650153,50.00
19,670260,50.00
20,270043,50.00
21,757632,50.00
22,528833,50.00
23,797650,50.00
24,678278,50.00
25,609646,50.00
26,640501,50.00
27,730676,50.00
28,400301,50.00
29,640960,26.45
30,358361,50.00
31,550254,50.00
32,521201,50.00
33,529684,50.00
34,082001,50.00
35,310107,50.00
36,730303,50.00
37,680624,50.00
38,760926,50.00
39,760290,50.00
40,677738,50.00
41,544583,50.00
42,618495,50.00
43,529705,50.00
44,569734,50.00
45,319194,50.00
46,327737,50.00
47,609958,50.00
